Date,Silver_PKR_per_Ounce
2017-11-21,1787.05
2017-11-22,1791.12
2017-11-23,1800.57
2017-11-24,1793.17
2017-11-27,1804.99
2017-11-28,1785.05
2017-11-29,1746.53
2017-11-30,1732.49
2017-12-01,1734.02
2017-12-04,1722.92
2017-12-05,1705.44
2017-12-06,1686.92
2017-12-07,1659.33
2017-12-08,1678.09
2017-12-11,1693.61
2017-12-12,1713.68
2017-12-13,1743.19
2017-12-14,1754.31
2017-12-15,1770.62
2017-12-18,1774.02
2017-12-19,1780.72
2017-12-20,1790.49
2017-12-21,1786.71
2017-12-22,1811.79
2017-12-25,1804.06
2017-12-26,1830.6
2017-12-27,1846.03
2017-12-28,1864.02
2017-12-29,1872.05
2018-01-01,1878.83
2018-01-02,1904.91
2018-01-03,1894.4
2018-01-04,1901.22
2018-01-05,1910.62
2018-01-08,1895.96
2018-01-09,1873.9
2018-01-10,1880.6
2018-01-11,1883.99
2018-01-12,1905.72
2018-01-15,1921.96
2018-01-16,1899.86
2018-01-17,1889.4
2018-01-18,1879.78
2018-01-19,1882.22
2018-01-22,1884.57
2018-01-23,1889.31
2018-01-24,1936.8
2018-01-25,1916.31
2018-01-26,1924.95
2018-01-29,1899.3
2018-01-30,1897.15
2018-01-31,1919.92
2018-02-01,1903.52
2018-02-02,1835.68
2018-02-05,1855.25
2018-02-06,1846.06
2018-02-07,1818.22
2018-02-08,1819.26
2018-02-09,1810.98
2018-02-12,1833.46
2018-02-13,1837.08
2018-02-14,1871.32
2018-02-15,1866.35
2018-02-16,1840.98
2018-02-19,1843.79
2018-02-20,1821.91
2018-02-21,1829.81
2018-02-22,1836.88
2018-02-23,1828.47
2018-02-26,1839.66
2018-02-27,1818.28
2018-02-28,1816.15
2018-03-01,1823.08
2018-03-02,1825.55
2018-03-05,1819.08
2018-03-06,1857.82
2018-03-07,1825.92
2018-03-08,1825.24
2018-03-09,1838.2
2018-03-12,1833.02
2018-03-13,1832.75
2018-03-14,1833.03
2018-03-15,1814.96
2018-03-16,1805.95
2018-03-19,1805.45
2018-03-20,1790.61
2018-03-21,1905.69
2018-03-22,1904.02
2018-03-23,1913.49
2018-03-26,1930.32
2018-03-27,1912.54
2018-03-28,1886.65
2018-03-29,1890.95
2018-03-30,1893.53
2018-04-02,1920.22
2018-04-03,1900.09
2018-04-04,1887.89
2018-04-05,1901.17
2018-04-06,1891.64
2018-04-09,1903.11
2018-04-10,1917.21
2018-04-11,1927.75
2018-04-12,1906.95
2018-04-13,1925.41
2018-04-16,1933.58
2018-04-17,1937.19
2018-04-18,1989.95
2018-04-19,1994.47
2018-04-20,1978.78
2018-04-23,1926.7
2018-04-24,1937.5
2018-04-25,1918.63
2018-04-26,1915.24
2018-04-27,1910.62
2018-04-30,1890.09
2018-05-01,1876.29
2018-05-02,1896.01
2018-05-03,1902.41
2018-05-04,1912.93
2018-05-07,1909.38
2018-05-08,1909.56
2018-05-09,1907.4
2018-05-10,1934.34
2018-05-11,1925.39
2018-05-14,1912.38
2018-05-15,1884.68
2018-05-16,1895.04
2018-05-17,1902.42
2018-05-18,1904.45
2018-05-21,1909.44
2018-05-22,1925.31
2018-05-23,1904.51
2018-05-24,1927.22
2018-05-25,1907.04
2018-05-28,1909.2
2018-05-29,1899.67
2018-05-30,1909.91
2018-05-31,1902.31
2018-06-01,1896.17
2018-06-04,1901.7
2018-06-05,1907.57
2018-06-06,1930.6
2018-06-07,1936.33
2018-06-08,1941.54
2018-06-11,1957.22
2018-06-12,1947.92
2018-06-13,2009.76
2018-06-14,2012.15
2018-06-15,1984.87
2018-06-18,1981.0
2018-06-19,1978.86
2018-06-20,1983.25
2018-06-21,1986.48
2018-06-22,2000.67
2018-06-25,1984.63
2018-06-26,1981.09
2018-06-27,1956.95
2018-06-28,1949.97
2018-06-29,1959.32
2018-07-02,1930.04
2018-07-03,1951.95
2018-07-04,1958.67
2018-07-05,1952.35
2018-07-06,1949.84
2018-07-09,1958.96
2018-07-10,1948.75
2018-07-11,1922.31
2018-07-12,1938.1
2018-07-13,1921.93
2018-07-16,1919.79
2018-07-17,1983.95
2018-07-18,1986.82
2018-07-19,1975.2
2018-07-20,1993.53
2018-07-23,1987.73
2018-07-24,2000.48
2018-07-25,2017.15
2018-07-26,1988.64
2018-07-27,1999.61
2018-07-30,1885.03
2018-07-31,1916.7
2018-08-01,1902.7
2018-08-02,1886.83
2018-08-03,1913.66
2018-08-06,1901.7
2018-08-07,1901.63
2018-08-08,1904.83
2018-08-09,1904.73
2018-08-10,1898.15
2018-08-13,1856.37
2018-08-14,1865.64
2018-08-15,1823.84
2018-08-16,1812.47
2018-08-17,1830.49
2018-08-20,1818.65
2018-08-21,1815.18
2018-08-22,1808.38
2018-08-23,1785.95
2018-08-24,1808.9
2018-08-27,1833.29
2018-08-28,1816.1
2018-08-29,1817.73
2018-08-30,1791.24
2018-08-31,1787.9
2018-09-03,1784.03
2018-09-04,1745.59
2018-09-05,1749.13
2018-09-06,1745.81
2018-09-07,1746.27
2018-09-10,1747.27
2018-09-11,1740.18
2018-09-12,1754.41
2018-09-13,1752.75
2018-09-14,1742.03
2018-09-17,1742.15
2018-09-18,1747.86
2018-09-19,1758.04
2018-09-20,1769.2
2018-09-21,1769.44
2018-09-24,1759.68
2018-09-25,1790.91
2018-09-26,1775.36
2018-09-28,1810.99
2018-10-01,1786.27
2018-10-02,1818.91
2018-10-03,1807.59
2018-10-04,1802.06
2018-10-05,1808.42
2018-10-08,1774.13
2018-10-09,1770.72
2018-10-10,1834.39
2018-10-11,1922.51
2018-10-12,1945.78
2018-10-15,1940.25
2018-10-16,1936.17
2018-10-17,1940.7
2018-10-18,1938.08
2018-10-19,1951.57
2018-10-22,1936.24
2018-10-23,1972.35
2018-10-24,1962.31
2018-10-25,1933.18
2018-10-26,1963.93
2018-10-29,1925.46
2018-10-30,1917.46
2018-10-31,1907.1
2018-11-01,1965.86
2018-11-02,1965.78
2018-11-05,1957.4
2018-11-06,1943.73
2018-11-07,1947.4
2018-11-08,1922.91
2018-11-09,1896.7
2018-11-12,1882.27
2018-11-13,1865.32
2018-11-14,1898.63
2018-11-15,1915.27
2018-11-16,1930.6
2018-11-19,1935.02
2018-11-20,1925.13
2018-11-21,1946.8
2018-11-22,1950.46
2018-11-23,1920.94
2018-11-26,1915.93
2018-11-27,1906.02
2018-11-28,1926.18
